date,close_BZ_F,close_CL_F,close_CNYUSD_X,close_EURUSD_X,close_GBPUSD_X,close_GC_F,close_INRUSD_X,close_JPYUSD_X,close_NG_F,close_SI_F,close_XLE,close_XLI,close_XLU,close_CNXENERGY,close_CNXIT,close_DJI,close_FTSE,close_GSPC,close_IXIC,close_N225,close_NSEBANK,close_NSEI,close_RUT,close_STOXX50E,close_VIX,close_VXEEM,return_BZ_F,return_CL_F,return_CNYUSD_X,return_EURUSD_X,return_GBPUSD_X,return_GC_F,return_INRUSD_X,return_JPYUSD_X,return_NG_F,return_SI_F,return_XLE,return_XLI,return_XLU,return_CNXENERGY,return_CNXIT,return_DJI,return_FTSE,return_GSPC,return_IXIC,return_N225,return_NSEBANK,return_NSEI,return_RUT,return_STOXX50E,return_VIX,volatility_20d_BZ_F,volatility_20d_CL_F,volatility_20d_CNYUSD_X,volatility_20d_EURUSD_X,volatility_20d_GBPUSD_X,volatility_20d_GC_F,volatility_20d_INRUSD_X,volatility_20d_JPYUSD_X,volatility_20d_NG_F,volatility_20d_SI_F,volatility_20d_XLE,volatility_20d_XLI,volatility_20d_XLU,volatility_20d_CNXENERGY,volatility_20d_CNXIT,volatility_20d_DJI,volatility_20d_FTSE,volatility_20d_GSPC,volatility_20d_IXIC,volatility_20d_N225,volatility_20d_NSEBANK,volatility_20d_NSEI,volatility_20d_RUT,volatility_20d_STOXX50E,volatility_20d_VIX,volume_BZ_F,volume_CL_F,volume_CNYUSD_X,volume_EURUSD_X,volume_GBPUSD_X,volume_GC_F,volume_INRUSD_X,volume_JPYUSD_X,volume_NG_F,volume_SI_F,volume_XLE,volume_XLI,volume_XLU,volume_CNXENERGY,volume_CNXIT,volume_DJI,volume_FTSE,volume_GSPC,volume_IXIC,volume_N225,volume_NSEBANK,volume_NSEI,volume_RUT,volume_STOXX50E,volume_VIX,volume_VXEEM
2020-01-01 00:00:00+05:30,,,,,,,,,,,,,,15987.7998046875,,,,,,,,12182.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406000.0,,,,,,,,304100.0,,,,
2020-01-01 00:00:00+00:00,,,0.14363069832324982,1.1220825910568237,1.326259970664978,,0.01403000671416521,0.009201240725815296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,
2020-01-02 00:00:00+05:30,,,,,,,,,,,,,,16128.5,15709.650390625,,,,,,32443.47265625,12282.2001953125,,,,,,,,,,,,,,,,,,0.008800472674873383,,,,,,,,0.008183886337984836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529700.0,15200.0,,,,,,253600.0,407700.0,,,,
2020-01-02 00:00:00+00:00,,,0.14363275468349457,1.1220825910568237,1.3250298500061035,,0.014079549349844456,0.009198532439768314,,,,,,,,,7604.2998046875,,,,,,,,,,,,1.4316996775454172e-05,0.0,-0.0009275109602061571,,0.003531191159675373,-0.0002943392231206099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,482206700.0,,,,,,,,,
2020-01-02 00:00:00-05:00,66.25,61.18000030517578,,,,1524.5,,,2.121999979019165,17.965999603271484,47.418174743652344,75.61982727050781,53.29339599609375,,,28868.80078125,,3257.85009765625,9092.1904296875,,,,1666.77001953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25810.0,486873.0,,,,214.0,,,164570.0,2.0,11944700.0,16121300.0,19107700.0,,,251820000.0,,3459930000.0,2862700000.0,,,,3459930000.0,,,
2020-01-02 00:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,12.470000267028809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2020-01-03 00:00:00+05:30,,,,,,,,,,,,,,16054.7998046875,15936.599609375,,,,,,32068.876953125,12226.650390625,,,,,,,,,,,,,,,,,,-0.004569562904950808,0.014446484365141288,,,,,,-0.011546103806271746,-0.004522789386603554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1085300.0,26000.0,,,,,,217600.0,428800.0,,,,
2020-01-03 00:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,3773.3701171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30343400.0,,
2020-01-03 00:00:00+00:00,,,0.1436080038547516,1.1171437501907349,1.3152703046798706,,0.014002660289406776,0.009212939068675041,,,,,,,,,7622.39990234375,,,,,,,,,,,,-0.00017232022596458396,-0.004401494957191443,-0.007365528652949149,,-0.005461045558146971,0.0015661877588692974,,,,,,,,,0.002380245140399806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,475628900.0,,,,,,,,,
2020-01-03 00:00:00-05:00,68.5999984741211,63.04999923706055,,,,1549.199951171875,,,2.130000114440918,18.06800079345703,47.277278900146484,75.47404479980469,53.4019660949707,,,28634.880859375,,3234.85009765625,9020.76953125,,,,1660.8699951171875,,,,0.03547167508107307,0.030565526684486866,,,,0.01620200142464734,,,0.0037700921304677504,0.005677456998661734,-0.002971346836261768,-0.0019278339552618595,0.0020372148715182004,,,-0.008102862451665471,,-0.007059870562045378,-0.007855191660339544,,,,-0.003539795139656854,,,,,,,,,,,,,,,,,,,,,,,,,,,,78848.0,885861.0,,,,107.0,,,144669.0,83.0,29502900.0,17571300.0,17989300.0,,,239590000.0,,3484700000.0,2586520000.0,,,,3484700000.0,,,
